ImageId,EncodedPixels
No_4 CD31_dapi_8bit.png, 95603 5 96549 7 97495 9 98442 9 99389 10 100336 10 101283 10 102230 10 103177 9 104124 9 105071 9 106019 7 106967 6 107916 2
No_4 CD31_dapi_8bit.png, 647959 6 648903 11 649849 13 650796 14 651742 15 652689 15 653637 13 654585 12 655535 6
No_4 CD31_dapi_8bit.png, 832270 2 833214 11 834160 13 835107 13 836053 14 837000 13 837948 11 838896 9 839845 5
No_4 CD31_dapi_8bit.png, 24616 6 25561 9 26507 10 27454 10 28400 11 29347 10 30294 10 31242 9 32190 7
No_4 CD31_dapi_8bit.png, 390263 7 391208 11 392154 12 393101 13 394048 13 394995 13 395943 11 396892 8 397841 4
No_4 CD31_dapi_8bit.png, 175088 6 176033 10 176980 10 177926 12 178872 13 179819 13 180766 13 181713 12 182660 12 183607 11 184555 9 185504 6
No_4 CD31_dapi_8bit.png, 636307 6 637252 10 638199 10 639145 12 640092 13 641040 12 641987 12 642934 12 643881 12 644829 10 645777 8
No_4 CD31_dapi_8bit.png, 794163 4 795108 8 796053 11 797000 12 797947 12 798893 13 799840 13 800787 12 801735 11 802682 10 803631 6
No_4 CD31_dapi_8bit.png, 382721 6 383667 8 384614 9 385560 10 386507 11 387455 10 388402 10 389349 10 390298 7 391247 5
No_4 CD31_dapi_8bit.png, 110827 6 111772 10 112719 11 113665 13 114612 14 115559 14 116507 14 117454 14 118402 12 119350 10 120298 8
No_4 CD31_dapi_8bit.png, 145153 7 146098 11 147045 11 147991 13 148938 13 149885 13 150833 12 151780 11 152728 10 153676 7 154625 3
No_4 CD31_dapi_8bit.png, 227916 9 228861 12 229808 13 230755 13 231701 14 232649 13 233596 13 234543 12 235491 10 236438 8 237388 2
No_4 CD31_dapi_8bit.png, 554690 7 555635 10 556581 12 557528 12 558474 13 559421 12 560369 10 561316 10 562264 8 563214 3
No_4 CD31_dapi_8bit.png, 409270 6 410215 10 411160 13 412107 13 413053 14 414000 14 414948 12 415896 10 416844 8 417793 4
No_4 CD31_dapi_8bit.png, 869594 8 870540 11 871487 12 872434 12 873381 13 874328 13 875275 12 876223 11 877171 10 878119 8 879068 4
No_4 CD31_dapi_8bit.png, 591994 4 592939 11 593886 12 594832 13 595779 13 596726 13 597673 13 598621 11 599570 7
No_4 CD31_dapi_8bit.png, 372420 1 373361 9 374307 11 375253 13 376200 13 377147 13 378094 13 379041 13 379989 11 380938 7
No_4 CD31_dapi_8bit.png, 790599 6 791543 10 792489 12 793435 13 794382 13 795328 14 796275 14 797223 12 798171 11 799121 6
No_4 CD31_dapi_8bit.png, 83090 6 84035 10 84981 12 85927 14 86874 14 87821 14 88769 12 89716 12 90664 9 91614 3
No_4 CD31_dapi_8bit.png, 5807 9 6753 11 7699 14 8646 14 9592 16 10540 15 11487 15 12434 14 13382 13 14330 11 15278 8 16228 3
No_4 CD31_dapi_8bit.png, 319147 6 320093 9 321040 10 321987 11 322934 12 323881 12 324829 11 325777 10 326726 7 327676 3
No_4 CD31_dapi_8bit.png, 818013 3 818957 8 819903 11 820849 12 821796 12 822743 12 823690 12 824637 12 825584 11 826532 8 827481 3
No_4 CD31_dapi_8bit.png, 93571 5 94517 8 95463 10 96410 11 97357 12 98304 12 99252 11 100200 10 101148 9 102096 7 103046 2
No_4 CD31_dapi_8bit.png, 256884 6 257829 9 258774 11 259720 12 260666 13 261613 12 262560 11 263507 10 264455 8 265404 3
No_4 CD31_dapi_8bit.png, 354863 5 355808 8 356754 10 357700 11 358647 11 359594 11 360542 9 361489 9 362437 8 363385 6 364333 4
No_4 CD31_dapi_8bit.png, 217141 7 218087 9 219032 11 219978 13 220925 13 221871 14 222818 14 223765 14 224712 13 225660 11 226608 9 227560 1
No_4 CD31_dapi_8bit.png, 862860 4 863806 7 864752 10 865699 11 866646 12 867593 13 868540 13 869488 12 870436 11 871384 9 872333 6
No_4 CD31_dapi_8bit.png, 117265 8 118211 10 119158 10 120104 12 121051 12 121998 12 122944 13 123891 13 124838 12 125786 11 126734 9 127683 4
No_4 CD31_dapi_8bit.png, 410352 7 411297 11 412243 13 413190 14 414137 14 415085 13 416032 13 416980 11 417929 8 418878 3
No_4 CD31_dapi_8bit.png, 570220 5 571165 9 572111 12 573058 12 574005 13 574952 13 575900 12 576848 10 577797 8 578746 4
No_4 CD31_dapi_8bit.png, 645668 4 646612 11 647558 13 648505 13 649452 13 650399 13 651346 13 652293 12 653241 9 654190 5
No_4 CD31_dapi_8bit.png, 751842 6 752788 9 753734 10 754681 11 755628 11 756574 12 757521 11 758468 11 759416 9 760364 7 761313 3
No_4 CD31_dapi_8bit.png, 587668 8 588613 11 589559 13 590506 13 591454 12 592401 12 593349 11 594298 8 595247 5
No_4 CD31_dapi_8bit.png, 394283 3 395228 7 396174 10 397121 10 398067 11 399014 11 399961 11 400908 11 401855 11 402803 10 403751 8 404700 3
No_4 CD31_dapi_8bit.png, 437306 8 438252 10 439199 11 440146 11 441093 11 442040 11 442988 9 443935 9 444883 8 445830 7 446778 6 447727 2
No_4 CD31_dapi_8bit.png, 86199 7 87144 11 88090 13 89037 13 89984 13 90931 13 91879 12 92826 11 93774 10 94722 8 95671 4
No_4 CD31_dapi_8bit.png, 413010 7 413955 12 414902 12 415849 13 416796 13 417743 13 418690 13 419637 13 420585 11 421533 8 422482 4
No_4 CD31_dapi_8bit.png, 274354 7 275299 11 276245 13 277191 14 278138 15 279085 15 280032 14 280980 13 281929 10 282878 6
No_4 CD31_dapi_8bit.png, 634729 5 635674 10 636621 12 637567 14 638514 14 639461 14 640409 13 641357 11 642306 8
No_4 CD31_dapi_8bit.png, 149202 6 150147 9 151093 11 152039 13 152986 13 153933 13 154880 13 155827 12 156775 10 157724 3
No_4 CD31_dapi_8bit.png, 8447 8 9393 11 10340 12 11286 14 12233 14 13180 14 14127 13 15075 12 16022 11 16971 7
No_4 CD31_dapi_8bit.png, 265845 5 266791 8 267737 10 268684 11 269630 12 270577 12 271524 12 272471 12 273419 10 274369 5
No_4 CD31_dapi_8bit.png, 16158 5 17103 10 18049 12 18995 14 19942 14 20889 14 21837 13 22784 12 23733 9 24683 3
No_4 CD31_dapi_8bit.png, 61667 5 62612 9 63558 11 64505 12 65451 13 66398 13 67346 12 68293 11 69240 10 70188 8 71137 3
No_4 CD31_dapi_8bit.png, 524715 6 525660 10 526607 11 527554 11 528501 12 529448 12 530396 10 531343 10 532291 8 533240 4
No_4 CD31_dapi_8bit.png, 739529 3 740472 10 741418 12 742365 12 743312 12 744260 11 745208 10 746156 8 747105 5
No_4 CD31_dapi_8bit.png, 498995 5 499940 8 500885 10 501831 11 502778 11 503724 11 504671 10 505618 9 506566 7 507514 4
No_4 CD31_dapi_8bit.png, 175108 6 176053 9 177000 10 177947 10 178894 11 179840 12 180787 12 181735 11 182682 11 183630 9 184578 8 185527 5
No_4 CD31_dapi_8bit.png, 230922 7 231865 12 232811 14 233757 15 234703 16 235650 16 236597 16 237544 16 238491 14 239439 11 240388 7
No_4 CD31_dapi_8bit.png, 824980 3 825924 9 826870 11 827816 12 828763 12 829709 13 830656 13 831603 12 832551 10 833499 8 834449 1
No_4 CD31_dapi_8bit.png, 682592 6 683538 9 684484 11 685430 13 686377 13 687323 14 688270 14 689218 13 690166 11 691114 10 692063 6
No_4 CD31_dapi_8bit.png, 369968 5 370913 9 371860 11 372806 12 373753 13 374700 13 375648 13 376595 13 377543 12 378491 11 379439 10 380387 8 381335 7 382283 5 383231 3
No_4 CD31_dapi_8bit.png, 151246 10 152192 13 153138 15 154085 15 155032 15 155980 14 156928 13 157879 7
No_4 CD31_dapi_8bit.png, 833030 5 833975 9 834920 12 835867 13 836814 13 837761 13 838708 13 839655 12 840602 12 841550 10 842499 7 843448 3
No_4 CD31_dapi_8bit.png, 169636 6 170581 10 171527 12 172474 13 173421 13 174368 13 175314 14 176261 13 177209 12 178156 11 179105 8 180055 2
No_4 CD31_dapi_8bit.png, 680896 6 681842 8 682788 9 683735 10 684682 10 685629 10 686576 9 687523 9 688470 8 689418 6 690366 3
No_4 CD31_dapi_8bit.png, 585869 5 586814 9 587759 12 588706 12 589652 13 590599 12 591547 9 592495 6
No_4 CD31_dapi_8bit.png, 450655 6 451601 9 452547 11 453494 12 454441 13 455387 14 456334 14 457282 13 458229 12 459177 10 460126 6
No_4 CD31_dapi_8bit.png, 562511 4 563456 8 564402 10 565349 10 566296 11 567243 11 568190 11 569137 11 570084 10 571032 9 571981 4
No_4 CD31_dapi_8bit.png, 715971 7 716917 9 717863 11 718810 12 719757 12 720704 12 721652 10 722599 10 723547 7 724496 4
No_4 CD31_dapi_8bit.png, 769007 6 769952 10 770898 12 771845 13 772792 13 773739 13 774686 13 775634 11 776583 8
No_4 CD31_dapi_8bit.png, 673813 6 674758 10 675704 12 676651 12 677598 12 678545 12 679492 12 680440 10 681388 7
No_4 CD31_dapi_8bit.png, 539875 4 540821 8 541767 10 542714 11 543661 11 544608 11 545556 10 546503 10 547452 7 548400 5
No_4 CD31_dapi_8bit.png, 119557 3 120501 9 121447 11 122393 13 123340 13 124287 13 125234 13 126181 13 127129 11 128077 9 129026 6
No_4 CD31_dapi_8bit.png, 214671 6 215616 10 216562 12 217509 12 218456 12 219404 10 220351 9 221300 5
No_4 CD31_dapi_8bit.png, 110306 3 111251 9 112197 11 113144 11 114091 12 115038 12 115985 12 116933 11 117880 10 118828 9 119776 8 120725 4
No_4 CD31_dapi_8bit.png, 497124 4 498069 10 499016 14 499962 16 500909 17 501856 17 502803 17 503751 15 504699 13 505649 8
No_4 CD31_dapi_8bit.png, 517086 7 518031 10 518977 12 519924 12 520871 12 521818 12 522765 12 523713 10 524661 9 525610 6
No_4 CD31_dapi_8bit.png, 121255 5 122200 9 123147 10 124094 10 125041 10 125988 10 126935 10 127883 9 128831 7 129779 5
No_4 CD31_dapi_8bit.png, 216536 7 217480 13 218426 15 219372 16 220318 17 221265 17 222212 17 223159 16 224106 15 225053 13 226001 11 226951 5
No_4 CD31_dapi_8bit.png, 56323 7 57268 10 58215 11 59161 12 60108 12 61054 13 62001 13 62948 12 63896 10 64843 9 65791 7 66739 4
No_4 CD31_dapi_8bit.png, 19349 4 20295 8 21242 10 22189 10 23136 11 24083 11 25031 10 25979 8 26926 8 27874 6 28822 4
No_4 CD31_dapi_8bit.png, 888275 5 889221 9 890167 12 891114 13 892062 12 893009 12 893958 9 894906 6
No_4 CD31_dapi_8bit.png, 346701 4 347645 9 348591 11 349537 13 350484 13 351430 14 352377 14 353325 12 354273 10 355222 7
No_4 CD31_dapi_8bit.png, 205781 4 206727 7 207674 8 208621 8 209568 8 210515 9 211462 9 212410 7 213357 7 214304 7 215253 4
No_4 CD31_dapi_8bit.png, 688244 6 689190 10 690137 11 691083 12 692030 12 692977 12 693925 11 694872 10 695819 10 696767 7 697716 2
No_4 CD31_dapi_8bit.png, 86444 4 87388 9 88333 12 89279 14 90226 14 91173 14 92120 14 93067 14 94015 12 94963 11 95911 8 96861 3
No_4 CD31_dapi_8bit.png, 478803 5 479749 8 480695 10 481641 11 482588 11 483535 11 484483 9 485431 6
No_4 CD31_dapi_8bit.png, 250127 5 251073 8 252020 11 252967 13 253914 15 254861 15 255809 14 256757 13 257706 10 258656 4
No_4 CD31_dapi_8bit.png, 767969 2 768912 9 769858 10 770804 12 771751 12 772698 13 773645 13 774592 13 775540 11 776489 9 777439 4
No_4 CD31_dapi_8bit.png, 56052 7 56998 11 57944 13 58891 13 59837 14 60784 14 61731 14 62678 13 63626 12 64574 9 65522 6
No_4 CD31_dapi_8bit.png, 843924 5 844868 10 845815 10 846761 12 847708 12 848655 12 849603 11 850550 11 851499 8 852447 6
No_4 CD31_dapi_8bit.png, 250304 5 251250 8 252196 11 253142 14 254089 14 255036 14 255983 14 256930 13 257878 10 258827 6
No_4 CD31_dapi_8bit.png, 550284 5 551230 7 552176 9 553122 11 554068 12 555015 11 555962 11 556910 9 557859 5
No_4 CD31_dapi_8bit.png, 1721 6 2667 9 3614 10 4560 11 5507 12 6454 12 7402 11 8349 11 9297 10 10245 8 11195 4
No_4 CD31_dapi_8bit.png, 669544 7 670489 10 671435 12 672381 14 673328 14 674274 15 675221 15 676168 15 677116 13 678064 11 679012 9 679961 5
No_4 CD31_dapi_8bit.png, 525350 6 526295 9 527241 11 528187 12 529134 13 530081 13 531028 13 531975 13 532923 11 533871 9
No_4 CD31_dapi_8bit.png, 67790 7 68735 10 69681 12 70627 14 71573 15 72520 15 73467 15 74414 15 75362 13 76310 11 77258 8
No_4 CD31_dapi_8bit.png, 285133 8 286080 10 287026 12 287973 12 288920 13 289868 11 290816 10 291764 7 292714 1
No_4 CD31_dapi_8bit.png, 195738 7 196682 11 197628 13 198574 14 199521 14 200468 14 201414 15 202361 14 203309 13 204257 10 205205 7
No_4 CD31_dapi_8bit.png, 75344 6 76289 10 77235 11 78182 12 79128 13 80075 14 81022 14 81970 13 82917 13 83865 11 84813 9 85763 4
No_4 CD31_dapi_8bit.png, 752451 2 753395 7 754340 10 755286 11 756233 11 757179 12 758126 11 759074 10 760021 9 760971 5
No_4 CD31_dapi_8bit.png, 206629 6 207574 10 208520 11 209467 12 210414 12 211360 13 212307 13 213254 12 214202 11 215150 8
No_4 CD31_dapi_8bit.png, 175986 6 176931 9 177878 10 178824 11 179771 11 180718 11 181665 11 182612 11 183559 10 184507 8 185455 6
No_4 CD31_dapi_8bit.png, 886642 5 887586 10 888532 12 889479 12 890425 14 891372 14 892319 14 893266 13 894214 12 895162 10 896111 7
No_4 CD31_dapi_8bit.png, 809750 7 810695 12 811641 13 812588 13 813534 15 814481 14 815429 13 816376 13 817324 10 818273 4
No_4 CD31_dapi_8bit.png, 610729 5 611675 9 612621 11 613568 11 614515 12 615462 12 616409 12 617356 12 618304 10 619252 8 620201 5
No_4 CD31_dapi_8bit.png, 49207 8 50152 10 51098 12 52044 13 52991 13 53938 13 54885 12 55833 11 56781 8
No_4 CD31_dapi_8bit.png, 648647 8 649592 12 650538 14 651485 15 652431 16 653378 16 654325 15 655273 14 656220 13 657168 11 658116 9 659065 4
No_4 CD31_dapi_8bit.png, 225329 8 226275 11 227220 14 228167 14 229114 13 230060 13 231008 11 231955 10 232903 7
No_4 CD31_dapi_8bit.png, 173178 7 174124 10 175070 11 176016 13 176963 13 177909 14 178856 13 179803 13 180751 11 181699 8 182649 3
No_4 CD31_dapi_8bit.png, 355272 5 356217 8 357163 9 358109 9 359056 9 360003 9 360950 9 361898 8 362846 6 363795 2
No_4 CD31_dapi_8bit.png, 420605 6 421550 9 422496 12 423443 12 424390 13 425336 14 426283 13 427231 12 428178 11 429127 6
No_4 CD31_dapi_8bit.png, 291099 5 292044 7 292989 9 293935 10 294881 11 295828 11 296775 10 297723 9 298670 8 299619 5
No_4 CD31_dapi_8bit.png, 431144 5 432090 8 433036 9 433982 11 434929 11 435876 11 436823 11 437771 9 438718 8 439667 4
No_4 CD31_dapi_8bit.png, 318400 6 319346 9 320292 12 321239 13 322186 14 323133 14 324080 14 325027 14 325974 13 326923 11 327871 7
No_4 CD31_dapi_8bit.png, 703040 5 703985 10 704931 12 705878 13 706825 13 707772 13 708720 11 709667 10 710615 8 711564 4
No_4 CD31_dapi_8bit.png, 251317 6 252262 10 253209 11 254155 13 255102 13 256049 13 256996 12 257944 11 258892 10 259840 7
No_4 CD31_dapi_8bit.png, 482181 8 483127 11 484074 13 485021 14 485968 15 486916 15 487863 15 488812 13 489760 12 490709 10 491657 9 492606 6 493556 2
No_4 CD31_dapi_8bit.png, 145790 7 146737 10 147683 12 148630 14 149578 13 150525 14 151472 14 152420 12 153367 11 154316 8
No_4 CD31_dapi_8bit.png, 436652 8 437597 12 438543 13 439489 14 440436 15 441383 15 442331 13 443278 13 444226 10 445175 6
No_4 CD31_dapi_8bit.png, 489288 4 490234 8 491180 11 492127 12 493074 13 494021 13 494968 13 495916 11 496866 6
No_4 CD31_dapi_8bit.png, 110178 7 111123 11 112070 12 113016 13 113963 14 114911 13 115858 13 116805 13 117753 11 118701 9 119650 5
No_4 CD31_dapi_8bit.png, 682024 7 682969 10 683915 12 684861 13 685808 14 686754 15 687701 15 688649 13 689596 13 690544 11 691492 9 692441 5
No_4 CD31_dapi_8bit.png, 443183 3 444128 7 445074 8 446021 8 446968 8 447915 8 448861 9 449808 9 450756 8 451703 8 452650 8 453598 6 454545 5 455494 1
No_4 CD31_dapi_8bit.png, 93883 6 94830 6 95776 8 96723 8 97670 9 98617 9 99565 8 100512 7 101460 6 102408 4
No_4 CD31_dapi_8bit.png, 850304 5 851249 9 852195 11 853141 12 854088 13 855034 14 855982 13 856929 12 857878 9 858826 6
No_4 CD31_dapi_8bit.png, 751315 6 752260 10 753207 11 754154 11 755101 11 756048 11 756995 10 757943 8 758891 6
No_4 CD31_dapi_8bit.png, 441581 4 442526 8 443472 9 444418 11 445364 12 446311 12 447258 11 448206 10 449155 7
No_4 CD31_dapi_8bit.png, 683037 7 683983 10 684929 12 685875 13 686822 14 687769 14 688717 12 689665 11 690613 9 691562 5
No_4 CD31_dapi_8bit.png, 622422 6 623368 10 624314 12 625261 12 626209 12 627156 13 628104 12 629052 11 630001 9 630950 6
No_4 CD31_dapi_8bit.png, 101025 4 101969 10 102915 12 103862 12 104809 12 105755 14 106702 14 107649 13 108597 12 109544 12 110492 10 111441 5
No_4 CD31_dapi_8bit.png, 576660 5 577605 11 578551 14 579497 15 580444 15 581392 14 582340 13 583289 10 584239 5
No_4 CD31_dapi_8bit.png, 859429 3 860374 7 861320 8 862267 9 863213 11 864160 11 865107 11 866055 10 867003 9 867952 5
No_4 CD31_dapi_8bit.png, 372440 5 373385 10 374331 12 375278 13 376225 13 377172 13 378119 13 379067 12 380015 10 380964 7
No_4 CD31_dapi_8bit.png, 203361 6 204307 9 205254 10 206201 10 207148 11 208095 11 209043 10 209991 9 210940 6 211889 3
No_4 CD31_dapi_8bit.png, 658994 2 659937 11 660883 13 661829 14 662776 14 663723 14 664671 13 665618 12 666567 8 667516 4
No_4 CD31_dapi_8bit.png, 581605 5 582550 8 583496 10 584442 11 585388 12 586335 12 587282 12 588230 10 589177 9 590125 7 591074 3
No_4 CD31_dapi_8bit.png, 771146 5 772090 10 773036 13 773983 13 774930 14 775877 14 776824 14 777771 13 778719 10 779668 6
No_4 CD31_dapi_8bit.png, 34040 6 34986 9 35933 9 36879 11 37826 11 38773 11 39720 11 40668 9 41618 3
No_4 CD31_dapi_8bit.png, 180394 7 181339 10 182285 12 183232 12 184179 12 185125 13 186073 11 187020 11 187967 10 188915 8 189864 3
No_4 CD31_dapi_8bit.png, 850860 5 851805 9 852751 11 853697 12 854644 13 855591 13 856539 11 857487 10 858436 6
No_4 CD31_dapi_8bit.png, 751376 2 752321 8 753267 10 754213 11 755160 12 756107 12 757054 12 758002 11 758950 9 759899 5
No_4 CD31_dapi_8bit.png, 135162 6 136107 9 137053 12 138000 13 138947 13 139893 14 140840 13 141787 13 142735 11 143683 10 144632 6
No_4 CD31_dapi_8bit.png, 661248 4 662193 10 663140 12 664086 13 665033 14 665980 14 666927 14 667875 12 668822 11 669771 4
No_4 CD31_dapi_8bit.png, 154024 7 154969 10 155913 13 156859 14 157805 14 158752 14 159699 13 160647 11 161598 2
No_4 CD31_dapi_8bit.png, 394847 6 395793 8 396740 9 397686 10 398633 10 399581 9 400528 9 401476 7 402425 5
No_4 CD31_dapi_8bit.png, 826751 3 827697 8 828643 10 829590 11 830537 11 831485 10 832433 8
No_4 CD31_dapi_8bit.png, 864054 3 864998 8 865943 11 866890 11 867836 13 868783 13 869730 13 870678 11 871626 9 872575 5
No_4 CD31_dapi_8bit.png, 227209 5 228155 9 229102 11 230049 11 230996 12 231944 11 232891 11 233839 11 234787 10 235734 10 236682 8 237631 5
No_4 CD31_dapi_8bit.png, 485474 6 486420 9 487367 10 488313 12 489261 11 490208 11 491156 9 492105 6
No_4 CD31_dapi_8bit.png, 474525 7 475471 10 476417 12 477363 14 478310 15 479257 15 480204 15 481151 15 482099 13 483047 10 483996 6
No_4 CD31_dapi_8bit.png, 885816 3 886760 9 887706 11 888653 11 889599 13 890546 13 891493 13 892440 12 893388 11 894336 9 895286 5
No_4 CD31_dapi_8bit.png, 641620 8 642567 10 643513 13 644460 13 645407 14 646354 13 647302 12 648250 10 649199 6
No_4 CD31_dapi_8bit.png, 864981 3 865926 7 866873 7 867819 9 868765 10 869711 11 870658 11 871604 12 872550 13 873497 12 874444 12 875391 11 876337 10 877285 7 878232 4
No_4 CD31_dapi_8bit.png, 556455 6 557398 11 558343 13 559289 14 560235 15 561182 14 562128 15 563075 13 564022 12 564970 8 565919 3
No_4 CD31_dapi_8bit.png, 837834 1 838778 7 839724 9 840670 11 841617 12 842563 13 843510 13 844457 12 845405 10 846353 8
No_4 CD31_dapi_8bit.png, 155733 8 156679 11 157626 11 158572 13 159520 12 160467 12 161414 12 162363 9 163312 6
No_4 CD31_dapi_8bit.png, 443169 7 444115 9 445061 10 446008 11 446955 11 447901 12 448849 11 449796 11 450744 9 451692 7
No_4 CD31_dapi_8bit.png, 471913 5 472856 11 473802 13 474748 14 475695 14 476642 14 477589 13 478536 12 479484 9 480432 6
No_4 CD31_dapi_8bit.png, 653612 5 654556 10 655502 11 656449 12 657395 13 658342 13 659289 13 660237 11 661184 10 662133 6
No_4 CD31_dapi_8bit.png, 159837 5 160783 7 161729 8 162676 9 163622 10 164569 10 165516 10 166464 9 167411 8 168360 5
No_4 CD31_dapi_8bit.png, 318492 6 319437 9 320383 12 321330 13 322277 13 323224 14 324171 14 325118 14 326066 12 327015 9 327964 5
No_4 CD31_dapi_8bit.png, 121611 7 122556 11 123503 11 124449 12 125396 13 126343 13 127290 12 128237 12 129185 10 130133 8 131083 2
No_4 CD31_dapi_8bit.png, 844263 4 845208 8 846154 10 847101 10 848048 10 848994 12 849941 12 850888 11 851836 10 852784 8 853733 5
No_4 CD31_dapi_8bit.png, 578313 4 579258 7 580203 10 581150 10 582096 11 583043 10 583991 8 584939 5
No_4 CD31_dapi_8bit.png, 155881 3 156826 7 157772 9 158718 10 159664 11 160611 11 161558 10 162504 11 163451 10 164399 8 165346 7 166294 5
